node | value from strict function | value from loose function | value from the additive function
228 | 9 | 368 | 59
229 | 28 | 365 | 49
230 | 18 | 365 | 55
231 | 18 | 364 | 57
232 | 9 | 371 | 48
233 | 8 | 371 | 80
234 | 8 | 373 | 57
235 | 16 | 374 | 52
236 | 1 | 56 | 36
237 | 33 | 369 | 63
238 | 23 | 370 | 57
239 | 8 | 374 | 60
240 | 9 | 370 | 49
241 | 28 | 356 | 64
242 | 23 | 371 | 51
243 | 5 | 75 | 37
244 | 9 | 371 | 47
245 | 8 | 195 | 30
246 | 9 | 368 | 65
247 | 13 | 366 | 52
248 | 8 | 367 | 54
249 | 8 | 367 | 54
250 | 8 | 372 | 45
251 | 13 | 368 | 51
252 | 16 | 373 | 70
253 | 8 | 195 | 30
254 | 7 | 196 | 25
255 | 6 | 373 | 45
256 | 6 | 374 | 42
257 | 6 | 374 | 42
258 | 7 | 371 | 65
259 | 6 | 374 | 45
260 | 6 | 371 | 42
261 | 6 | 371 | 42
262 | 11 | 371 | 41
263 | 5 | 373 | 83
264 | 20 | 369 | 59
265 | 7 | 373 | 37
266 | 5 | 374 | 43
267 | 9 | 373 | 36
268 | 7 | 374 | 42
269 | 4 | 241 | 32
270 | 4 | 374 | 43
272 | 21 | 369 | 50
273 | 6 | 241 | 31
274 | 7 | 199 | 44
275 | 4 | 374 | 43
276 | 3 | 128 | 25
277 | 3 | 128 | 25
278 | 5 | 128 | 23
279 | 3 | 128 | 25
280 | 3 | 374 | 47
281 | 8 | 374 | 40
282 | 5 | 128 | 26
283 | 4 | 372 | 68
284 | 2 | 110 | 55
285 | 2 | 110 | 55
286 | 5 | 374 | 50
287 | 1 | 1 | 1
288 | 2 | 161 | 39
289 | 2 | 374 | 49
290 | 4 | 160 | 39
291 | 2 | 241 | 68
292 | 3 | 201 | 42
293 | 3 | 162 | 38
294 | 4 | 374 | 56
295 | 5 | 373 | 52
296 | 2 | 161 | 39
297 | 2 | 374 | 64
298 | 2 | 161 | 39
299 | 5 | 372 | 45
300 | 2 | 116 | 31
301 | 6 | 372 | 65
302 | 2 | 196 | 72
303 | 2 | 374 | 64
304 | 21 | 369 | 47
305 | 7 | 373 | 41
306 | 2 | 374 | 42
307 | 2 | 374 | 42
308 | 4 | 200 | 37
309 | 3 | 53 | 19
310 | 3 | 374 | 40
311 | 3 | 201 | 35
312 | 3 | 374 | 39
313 | 2 | 114 | 34
314 | 2 | 374 | 43
316 | 4 | 373 | 49
317 | 1 | 201 | 73
318 | 2 | 196 | 99
319 | 4 | 373 | 47
320 | 4 | 200 | 39
321 | 2 | 374 | 43
322 | 3 | 373 | 63
323 | 5 | 374 | 46
324 | 4 | 374 | 46
325 | 11 | 372 | 42
326 | 2 | 200 | 39
327 | 2 | 374 | 64
328 | 2 | 374 | 76
329 | 1 | 374 | 56
330 | 2 | 39 | 22
331 | 1 | 374 | 68
332 | 2 | 373 | 48
333 | 1 | 374 | 40
334 | 1 | 374 | 61
335 | 3 | 373 | 60
336 | 2 | 374 | 103
337 | 6 | 373 | 57
338 | 2 | 196 | 49
339 | 1 | 374 | 70
340 | 5 | 242 | 75
341 | 3 | 373 | 70
342 | 2 | 37 | 10
343 | 2 | 196 | 33
344 | 1 | 40 | 22
345 | 2 | 374 | 58
346 | 1 | 374 | 70
347 | 1 | 374 | 70
348 | 7 | 374 | 46
349 | 2 | 374 | 53
350 | 5 | 374 | 51
351 | 2 | 374 | 44
352 | 5 | 200 | 39
353 | 2 | 374 | 71
354 | 1 | 0 | 0
355 | 1 | 0 | 0
356 | 1 | 0 | 0
358 | 1 | 78 | 20
359 | 1 | 93 | 39
360 | 2 | 200 | 47
361 | 1 | 201 | 39
362 | 2 | 374 | 43
363 | 1 | 116 | 60
364 | 1 | 374 | 91
365 | 1 | 201 | 39
366 | 2 | 201 | 35
367 | 1 | 201 | 50
368 | 1 | 201 | 50
369 | 2 | 242 | 59
370 | 4 | 374 | 54
371 | 2 | 374 | 38
372 | 1 | 374 | 38
373 | 1 | 374 | 38
374 | 1 | 374 | 38
375 | 3 | 116 | 39
376 | 1 | 374 | 38
377 | 3 | 116 | 36
378 | 2 | 110 | 28
379 | 1 | 24 | 12
380 | 1 | 110 | 36
381 | 4 | 374 | 73
382 | 2 | 374 | 87
383 | 3 | 374 | 48
384 | 2 | 71 | 14
385 | 1 | 53 | 18
386 | 1 | 110 | 36
387 | 1 | 1 | 1
388 | 5 | 201 | 66
389 | 1 | 173 | 88
390 | 2 | 53 | 18
391 | 1 | 71 | 17
392 | 2 | 374 | 71
393 | 1 | 20 | 8
395 | 2 | 374 | 71
397 | 1 | 71 | 17
398 | 1 | 242 | 77
400 | 1 | 242 | 77
401 | 2 | 56 | 15
402 | 1 | 242 | 65
403 | 4 | 374 | 52
404 | 2 | 129 | 44
405 | 1 | 1 | 1
406 | 2 | 374 | 56
407 | 1 | 242 | 65
408 | 1 | 201 | 53
409 | 3 | 201 | 37
410 | 1 | 83 | 25
411 | 1 | 56 | 15
412 | 1 | 83 | 25
413 | 1 | 83 | 25
414 | 1 | 110 | 25
415 | 1 | 1 | 0
416 | 1 | 56 | 15
417 | 1 | 1 | 0
418 | 1 | 1 | 0
419 | 1 | 56 | 15
420 | 1 | 374 | 92
421 | 1 | 1 | 0
422 | 1 | 1 | 1
423 | 2 | 83 | 19
424 | 1 | 16 | 8
425 | 1 | 16 | 8
426 | 1 | 83 | 25
427 | 1 | 110 | 25
428 | 1 | 22 | 20
429 | 1 | 374 | 83
